Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion,Coordinador_Estatal,Coordinador_Distrital_Federal,Coordinador_Municipal,Coordinadores_De_Brigada_Requeridos,Brigadistas_Requeridos,Coordinadores_Seccionales_Requeridos,Protagonistas_Movilizadores_Requeridos,Votos_Nivel_1_Requeridos
70,Hermosillo,985,1063,1132,1213,73,418,133,303,223,297,47.3%,574,288,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,29,288
71,Hermosillo,1826,1972,2099,2250,68,659,323,743,681,534,59.6%,1342,672,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,68,672
72,Hermosillo,800,864,919,985,54,348,67,295,238,215,50.7%,499,250,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,25,250
73,Hermosillo,1646,1777,1892,2028,55,882,284,649,314,444,41.3%,837,419,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,42,419
74,Hermosillo,2610,2818,3001,3218,199,1442,403,1325,807,765,54.0%,1737,869,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,9,87,869
75,Hermosillo,2346,2533,2697,2891,132,1026,320,816,457,602,40.5%,1169,585,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,59,585
76,Hermosillo,2017,2178,2319,2486,105,722,172,829,546,400,42.0%,1045,523,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,53,523
77,Hermosillo,1535,1657,1765,1892,104,726,290,669,443,343,45.9%,868,435,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,44,435
78,Hermosillo,1268,1369,1458,1563,35,496,181,493,481,382,61.0%,953,477,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,48,477
79,Hermosillo,1095,1182,1259,1350,72,503,74,400,367,355,59.1%,797,399,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,40,399
80,Hermosillo,1612,1740,1853,1986,89,899,233,678,641,402,58.0%,1152,577,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,58,577
81,Hermosillo,2572,2777,2957,3170,133,1021,190,901,702,660,47.5%,1505,753,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,76,753
82,Hermosillo,1092,1179,1255,1345,30,472,153,328,374,350,59.4%,799,400,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,40,400
83,Hermosillo,2532,2734,2911,3121,184,1281,372,845,571,688,44.6%,1390,696,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,70,696
84,Hermosillo,1661,1793,1910,2048,88,729,318,744,485,324,43.6%,893,447,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,45,447
85,Hermosillo,1317,1422,1514,1623,27,500,204,611,387,340,49.5%,802,402,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,41,402
86,Hermosillo,627,677,721,773,33,295,136,245,229,187,59.4%,458,230,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,23,230
87,Hermosillo,1097,1184,1261,1352,26,405,140,406,423,308,59.7%,807,404,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,41,404
88,Hermosillo,2128,2298,2447,2624,116,753,344,982,594,590,49.9%,1308,655,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,66,655
89,Hermosillo,832,898,956,1024,47,323,76,312,204,193,42.8%,438,220,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,22,220
90,Hermosillo,1334,1440,1534,1645,98,692,209,401,354,370,48.6%,799,400,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,40,400
91,Hermosillo,842,909,968,1037,48,435,120,317,204,193,42.3%,438,220,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,22,220
92,Hermosillo,2224,2401,2557,2741,191,1061,408,975,465,534,40.2%,1103,552,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,56,552
93,Hermosillo,2524,2725,2902,3111,120,1044,508,1071,834,990,64.8%,2015,1008,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,3,11,101,1008
94,Hermosillo,2739,2958,3149,3376,164,1416,349,1082,721,771,48.8%,1648,825,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,9,83,825
95,Hermosillo,2678,2892,3079,3301,84,1074,308,893,886,735,54.3%,1791,896,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,9,90,896
96,Hermosillo,2017,2178,2319,2486,124,730,238,791,507,500,44.8%,1112,557,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,56,557
97,Hermosillo,1296,1399,1490,1597,69,554,147,428,398,336,50.7%,810,406,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,41,406
98,Hermosillo,1959,2115,2252,2414,137,992,172,654,455,515,44.4%,1071,536,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,6,54,536
99,Hermosillo,2154,2326,2477,2656,168,1080,291,1171,943,588,63.7%,1692,847,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,9,85,847
100,Hermosillo,1096,1183,1260,1351,51,479,126,434,319,444,62.4%,842,422,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,43,422
101,Hermosillo,2880,3110,3311,3550,122,1075,473,1164,806,793,49.8%,1766,884,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,89,884
102,Hermosillo,1106,1194,1271,1362,47,475,127,391,353,358,57.6%,784,393,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,40,393
103,Hermosillo,2368,2557,2723,2920,99,873,359,900,635,428,40.2%,1174,588,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,59,588
104,Hermosillo,580,626,667,715,17,210,56,213,176,134,47.8%,341,171,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,2,18,171
105,Hermosillo,2922,3155,3360,3603,135,1702,699,1251,920,586,46.2%,1664,833,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,84,833
106,Hermosillo,2462,2658,2831,3035,101,1065,260,1349,626,557,43.1%,1306,654,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,7,66,654
107,Hermosillo,1509,1629,1735,1860,94,700,193,593,355,367,42.9%,797,399,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,40,399
108,Hermosillo,1034,1116,1189,1275,43,407,149,474,238,268,43.8%,558,280,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,28,280
109,Hermosillo,1645,1776,1891,2027,94,715,236,457,396,442,45.6%,925,463,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,47,463
110,Hermosillo,2089,2256,2402,2575,72,828,327,720,725,574,55.7%,1435,718,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,72,718
111,Hermosillo,1371,1480,1576,1689,130,717,234,429,345,437,51.1%,863,432,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,44,432
112,Hermosillo,2471,2668,2841,3046,82,1413,303,812,547,584,41.0%,1249,625,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,63,625
113,Hermosillo,625,675,718,769,29,273,65,216,205,153,51.4%,395,198,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,2,20,198
114,Hermosillo,1486,1604,1708,1831,78,752,145,537,520,394,55.2%,1009,505,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,6,51,505
115,Hermosillo,1660,1792,1908,2045,93,554,171,623,341,477,44.2%,903,452,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,46,452
116,Hermosillo,2956,3192,3399,3644,179,1192,518,1209,1076,714,54.3%,1977,989,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,10,99,989
117,Hermosillo,1483,1601,1705,1828,100,565,146,649,525,370,54.1%,988,495,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,50,495
