Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion
23,Cajeme,2142,2741,2716,3083,145,1044,525,1003,692,607,49.3%,1519,760,Segura (Crecimiento Alto)
24,Hermosillo,1584,2018,2228,2649,70,629,162,720,753,576,61.5%,1628,815,Segura (Crecimiento Alto)
25,Hermosillo,943,996,3437,7745,27,349,199,400,917,818,52.0%,4029,2015,Segura (Crecimiento Alto)
26,Navojoa,600,2329,1493,3376,55,305,255,728,445,302,51.6%,1741,871,Segura (Crecimiento Alto)
27,Cajeme,613,3080,1443,3963,27,319,431,919,544,340,63.1%,2501,1251,Segura (Crecimiento Alto)
28,Guaymas,2137,1477,2576,3136,108,732,188,671,844,770,64.6%,2024,1013,Segura (Crecimiento Alto)
29,San Luis Rio Colorado,1995,1732,2523,2932,71,1026,136,692,441,581,41.7%,1223,612,Competida (Swing)
30,Hermosillo,1587,1685,2393,2969,90,645,244,747,482,462,40.7%,1207,604,Segura (Crecimiento Alto)
31,San Luis Rio Colorado,915,2611,1620,2813,42,431,359,689,380,333,45.4%,1276,639,Favorable (Estable)
32,Navojoa,685,2231,1580,3132,35,256,159,824,399,423,53.6%,1678,840,Competida (Swing)
33,Cajeme,2866,2514,1950,1611,84,1212,186,796,561,629,62.9%,1012,507,Competida (Swing)
34,Navojoa,1570,911,2487,4116,57,576,65,294,667,756,58.9%,2426,1214,Competida (Swing)
35,San Luis Rio Colorado,1043,1337,2628,4267,43,394,172,517,627,606,48.4%,2063,1032,Segura (Crecimiento Alto)
36,Cajeme,2661,1771,1627,1288,132,965,244,643,306,352,41.7%,536,269,Competida (Swing)
37,Hermosillo,1796,1733,1335,1158,95,873,218,617,347,327,52.0%,601,301,Segura (Crecimiento Alto)
38,Navojoa,2502,1599,2344,2467,63,1146,191,763,649,580,54.0%,1332,667,Segura (Crecimiento Alto)
39,Nogales,1253,2337,2339,3351,49,695,223,941,763,538,57.3%,1921,961,Segura (Crecimiento Alto)
40,Nogales,2889,1856,2616,2683,258,1533,265,577,664,916,62.2%,1669,835,Competida (Swing)
41,San Luis Rio Colorado,1872,1964,691,484,66,679,264,533,192,144,50.1%,242,122,Favorable (Estable)
42,Cajeme,1924,2916,2182,2469,85,719,511,1077,458,408,40.9%,1009,505,Favorable (Estable)
43,Hermosillo,2907,657,580,321,68,1151,68,304,102,135,42.1%,135,68,Competida (Swing)
44,Hermosillo,1777,1347,2528,3330,93,698,139,384,886,649,62.6%,2083,1042,Segura (Crecimiento Alto)
45,San Luis Rio Colorado,1897,1890,2278,2507,107,771,270,761,504,660,52.6%,1319,660,Competida (Swing)
46,Hermosillo,1387,2959,1003,1239,58,669,430,790,227,205,44.4%,549,275,Favorable (Estable)
47,Guaymas,2625,2958,3371,3820,125,1038,381,1156,1004,1049,62.8%,2397,1199,Competida (Swing)
48,Nogales,2484,1031,1021,717,82,1307,145,320,278,193,47.5%,340,171,Segura (Crecimiento Alto)
49,Cajeme,1221,1720,2041,2648,48,566,332,601,523,528,53.1%,1405,703,Competida (Swing)
50,San Luis Rio Colorado,2935,1888,2227,2029,154,1650,205,529,464,506,44.9%,911,456,Competida (Swing)
51,Cajeme,682,3175,1153,2893,53,343,391,925,260,235,44.2%,1279,640,Favorable (Estable)
52,Nogales,2673,1006,1419,1267,148,1401,146,396,414,347,55.3%,700,351,Segura (Crecimiento Alto)
53,San Luis Rio Colorado,1963,710,1501,1858,42,774,90,295,355,375,50.1%,930,466,Competida (Swing)
54,Cajeme,2620,2048,702,394,141,1493,216,697,177,145,47.2%,185,93,Favorable (Estable)
55,Hermosillo,819,730,1829,3106,33,330,90,210,620,517,64.1%,1990,996,Segura (Crecimiento Alto)
56,Hermosillo,2021,1506,2618,3250,160,930,294,543,512,607,44.0%,1431,716,Competida (Swing)
57,Hermosillo,2631,2938,3438,3931,123,1240,425,815,692,867,46.7%,1837,919,Competida (Swing)
58,San Luis Rio Colorado,1128,1897,3054,5026,78,603,309,661,712,906,54.6%,2745,1373,Competida (Swing)
59,Navojoa,2024,2178,1568,1408,108,745,355,753,329,413,48.7%,686,344,Competida (Swing)
60,Guaymas,2182,575,2904,7715,68,1060,98,205,605,545,40.8%,3148,1575,Segura (Crecimiento Alto)
61,Hermosillo,1687,821,3026,6312,82,856,94,354,898,743,55.9%,3527,1764,Segura (Crecimiento Alto)
62,San Luis Rio Colorado,572,2576,3156,9039,24,244,414,1161,628,770,45.7%,4127,2064,Competida (Swing)
63,Cajeme,1231,2657,764,934,119,656,388,1287,228,245,63.7%,595,298,Competida (Swing)
64,Nogales,2899,2488,3277,3564,202,1506,506,908,625,742,43.0%,1532,767,Competida (Swing)
65,Navojoa,1382,2679,1300,1575,54,678,346,1034,475,297,61.2%,963,482,Segura (Crecimiento Alto)
66,Navojoa,1566,1881,822,673,118,743,226,762,218,140,44.9%,302,152,Favorable (Estable)
67,Guaymas,2716,1325,2714,3441,126,1493,174,361,701,937,62.2%,2140,1071,Competida (Swing)
68,Navojoa,2630,1566,1393,1034,142,1358,175,436,311,368,50.3%,519,260,Competida (Swing)
69,Nogales,2235,2684,2469,2618,179,1154,414,751,849,685,64.0%,1676,839,Segura (Crecimiento Alto)
70,Navojoa,2667,938,3191,5988,186,1060,75,412,1042,805,59.7%,3572,1787,Segura (Crecimiento Alto)
71,Nogales,2248,2680,2942,3368,94,1222,205,903,702,601,45.6%,1537,769,Segura (Crecimiento Alto)
72,Hermosillo,598,1564,2520,5325,20,322,140,707,544,658,49.2%,2618,1310,Competida (Swing)
73,Navojoa,1656,2368,1138,1087,116,766,297,742,363,253,55.8%,606,304,Segura (Crecimiento Alto)
74,Cajeme,1877,1544,1018,754,53,683,185,680,286,263,55.5%,418,210,Segura (Crecimiento Alto)
75,Hermosillo,2044,3154,2774,3360,143,812,511,919,548,692,46.1%,1547,774,Competida (Swing)
76,San Luis Rio Colorado,2000,741,2019,3124,105,683,84,252,373,483,43.7%,1364,683,Competida (Swing)
77,Cajeme,2750,1661,2325,2329,106,1236,281,591,665,546,53.7%,1250,626,Segura (Crecimiento Alto)
78,Nogales,1947,851,2784,5162,64,809,100,402,725,925,61.1%,3153,1577,Competida (Swing)
79,Nogales,1415,2475,1879,2356,102,672,339,734,616,489,60.6%,1428,715,Segura (Crecimiento Alto)
80,Cajeme,1629,2185,1123,1041,126,727,206,933,231,247,43.8%,456,229,Competida (Swing)
81,Hermosillo,1286,1037,2838,5027,92,687,127,326,969,721,61.4%,3085,1543,Segura (Crecimiento Alto)
82,Hermosillo,1430,2895,1484,1882,54,598,398,940,547,381,64.4%,1212,607,Segura (Crecimiento Alto)
83,Cajeme,1511,2559,2017,2502,79,736,252,748,759,488,63.7%,1593,797,Segura (Crecimiento Alto)
84,Nogales,2356,555,3270,10018,64,1052,95,246,948,917,58.8%,5888,2945,Segura (Crecimiento Alto)
85,San Luis Rio Colorado,636,1883,844,1438,21,260,351,642,271,231,61.3%,880,441,Favorable (Estable)
86,Cajeme,2884,1937,1498,1082,198,1269,337,804,360,264,42.9%,464,233,Favorable (Estable)
87,Guaymas,1278,1655,2888,4389,73,718,174,663,588,629,43.4%,1905,953,Competida (Swing)
88,Guaymas,2667,2201,1408,1031,165,1031,296,1019,359,479,61.3%,631,316,Competida (Swing)
89,Nogales,2390,1333,2362,2751,85,857,115,609,565,703,55.3%,1522,762,Competida (Swing)
90,San Luis Rio Colorado,2223,2999,1713,1644,138,948,519,928,401,568,58.3%,957,479,Competida (Swing)
91,Cajeme,2908,1861,3416,4228,208,1178,365,795,722,899,48.9%,2068,1035,Competida (Swing)
92,Nogales,2870,2366,2830,2859,206,1495,277,933,873,721,58.1%,1659,830,Segura (Crecimiento Alto)
93,Guaymas,2794,2930,3324,3628,74,1323,217,1007,1274,812,64.7%,2346,1174,Segura (Crecimiento Alto)
94,Cajeme,1924,1095,2809,4402,120,714,184,370,738,721,53.5%,2356,1179,Segura (Crecimiento Alto)
95,Hermosillo,1786,2417,2335,2707,58,764,262,856,705,459,51.4%,1391,696,Segura (Crecimiento Alto)
96,Navojoa,1950,2541,1609,1557,62,856,320,767,369,292,42.3%,658,330,Segura (Crecimiento Alto)
97,Cajeme,1058,2692,2934,5331,52,451,568,1120,807,566,48.2%,2571,1286,Segura (Crecimiento Alto)
98,Cajeme,935,1276,3034,5677,33,446,132,623,920,796,58.3%,3310,1656,Segura (Crecimiento Alto)
99,Nogales,1142,3080,2078,3503,81,490,457,911,414,489,44.8%,1567,784,Competida (Swing)
100,Nogales,1347,2452,3277,5172,80,703,349,1098,893,772,52.4%,2708,1355,Segura (Crecimiento Alto)
101,Nogales,2957,2111,1922,1561,164,1198,190,998,527,666,63.9%,998,500,Competida (Swing)
102,Navojoa,813,562,2685,7341,57,442,61,226,762,789,59.5%,4369,2185,Competida (Swing)
103,Guaymas,2375,1382,2237,2461,103,1385,140,652,537,336,40.2%,989,495,Segura (Crecimiento Alto)
104,Guaymas,1880,1378,1266,1045,123,831,129,705,301,251,44.9%,469,235,Segura (Crecimiento Alto)
105,San Luis Rio Colorado,603,1285,1530,2541,39,327,190,619,520,394,61.6%,1564,783,Segura (Crecimiento Alto)
106,Navojoa,2425,641,2386,4756,159,956,97,184,559,775,57.6%,2740,1371,Competida (Swing)
107,Nogales,1820,895,1535,1693,90,839,74,315,591,372,64.6%,1094,548,Segura (Crecimiento Alto)
108,Nogales,2477,1262,3178,4811,116,994,157,472,906,895,58.4%,2809,1405,Segura (Crecimiento Alto)
109,Hermosillo,2233,3129,2099,2174,63,940,344,911,651,511,57.0%,1239,620,Segura (Crecimiento Alto)
110,Navojoa,1679,3095,1784,2158,106,773,246,1100,553,485,60.0%,1294,648,Segura (Crecimiento Alto)
111,Guaymas,2701,1642,1383,1002,170,1344,250,467,296,412,52.7%,528,265,Competida (Swing)
112,Cajeme,2213,1061,1684,1740,168,1104,91,378,315,380,42.5%,739,370,Competida (Swing)
113,Navojoa,1614,2809,3047,4304,65,586,515,940,891,820,57.9%,2490,1246,Segura (Crecimiento Alto)
114,Navojoa,2004,896,1836,2291,132,1009,92,419,548,404,53.4%,1224,613,Segura (Crecimiento Alto)
115,Nogales,1185,1494,2868,4560,74,556,227,695,871,701,56.5%,2575,1288,Segura (Crecimiento Alto)
116,Hermosillo,1182,982,737,582,51,568,113,287,234,150,53.6%,311,156,Segura (Crecimiento Alto)
117,Nogales,1830,3029,1386,1464,65,988,337,884,335,359,51.6%,755,378,Competida (Swing)
118,Guaymas,1945,1035,2742,4361,114,748,110,437,682,500,44.4%,1937,969,Segura (Crecimiento Alto)
119,Nogales,518,1132,885,1312,38,213,113,390,298,193,57.2%,750,376,Segura (Crecimiento Alto)
120,Guaymas,572,2747,2672,7715,33,197,432,855,677,450,43.5%,3352,1677,Segura (Crecimiento Alto)
121,Nogales,1343,1337,2950,4722,50,717,270,495,944,859,63.0%,2974,1488,Segura (Crecimiento Alto)
122,San Luis Rio Colorado,2153,2536,630,449,162,967,341,785,185,121,50.0%,224,113,Favorable (Estable)
123,Nogales,1991,1135,1626,1628,155,860,99,422,394,434,52.5%,854,428,Competida (Swing)
124,Nogales,1997,1573,1251,990,113,766,155,563,241,339,47.7%,472,237,Competida (Swing)
125,San Luis Rio Colorado,957,2347,2019,3344,36,467,214,775,587,382,49.4%,1652,827,Segura (Crecimiento Alto)
126,Navojoa,2593,1491,744,399,94,1245,136,579,224,227,62.4%,248,125,Competida (Swing)
127,Hermosillo,2442,2336,876,583,139,1052,242,858,221,143,42.8%,249,125,Favorable (Estable)
128,Hermosillo,1204,2912,1905,2926,52,690,471,1259,424,320,40.2%,1176,589,Favorable (Estable)
129,Guaymas,2495,1412,1227,880,120,985,246,531,242,311,46.5%,408,205,Competida (Swing)
130,Nogales,1295,2301,641,658,72,576,271,794,163,160,51.8%,340,171,Favorable (Estable)
131,Hermosillo,2110,2887,2960,3542,141,1148,330,1299,749,816,54.5%,1930,966,Competida (Swing)
132,Hermosillo,626,2872,2112,5621,25,223,437,811,639,457,53.5%,3004,1503,Segura (Crecimiento Alto)
133,Guaymas,1059,2817,2578,4608,66,387,426,1256,629,443,42.9%,1975,988,Segura (Crecimiento Alto)
134,Hermosillo,1656,1642,1183,1012,119,846,145,628,365,294,57.4%,580,291,Segura (Crecimiento Alto)
135,San Luis Rio Colorado,615,2377,717,1493,28,283,256,809,214,214,61.5%,918,460,Competida (Swing)
136,San Luis Rio Colorado,2135,574,2839,7402,65,1035,57,192,661,455,40.5%,2998,1500,Segura (Crecimiento Alto)
137,Nogales,587,2697,3086,8854,30,216,409,969,672,599,42.4%,3758,1880,Segura (Crecimiento Alto)
138,Cajeme,1161,3217,583,860,67,404,512,1463,116,117,41.2%,354,178,Competida (Swing)
139,Guaymas,2500,943,2814,4729,146,997,139,376,577,788,50.0%,2364,1183,Competida (Swing)
140,Navojoa,2652,1270,2668,3441,230,1429,171,590,628,766,53.9%,1853,927,Competida (Swing)
141,Navojoa,1263,1533,1491,1629,55,546,192,607,458,393,58.8%,958,480,Segura (Crecimiento Alto)
142,Cajeme,781,2069,2892,5851,43,366,287,550,657,598,44.7%,2615,1308,Segura (Crecimiento Alto)
143,Cajeme,2682,2265,1927,1633,79,1295,333,899,458,314,41.3%,673,337,Segura (Crecimiento Alto)
144,Guaymas,519,2127,3339,9462,20,307,284,788,772,888,51.2%,4848,2425,Competida (Swing)
145,Hermosillo,2723,2771,1084,763,186,1078,320,820,186,235,40.0%,305,153,Competida (Swing)
146,San Luis Rio Colorado,1636,2043,1666,1719,86,593,233,616,416,514,57.5%,988,495,Competida (Swing)
147,Hermosillo,1114,2161,1583,2115,41,412,370,701,343,382,47.2%,998,500,Competida (Swing)
148,Cajeme,1738,2430,1695,1776,47,744,236,1191,432,594,62.4%,1107,554,Competida (Swing)
149,Guaymas,1271,1386,2232,3014,89,585,181,477,649,607,58.0%,1747,874,Segura (Crecimiento Alto)
150,Navojoa,564,2310,3370,9359,46,290,244,684,826,690,46.4%,4337,2169,Segura (Crecimiento Alto)
151,San Luis Rio Colorado,1066,2449,804,1055,58,383,425,812,210,272,61.7%,650,326,Competida (Swing)
152,Navojoa,1030,1438,2019,2826,51,549,269,570,503,542,53.3%,1507,754,Competida (Swing)
153,Nogales,2697,2359,2004,1727,93,1428,197,1067,426,540,49.7%,857,429,Competida (Swing)
154,Hermosillo,1592,2532,3389,4963,127,734,486,989,1036,695,52.6%,2612,1307,Segura (Crecimiento Alto)
155,Nogales,2029,2721,2236,2418,45,779,363,1155,584,817,64.6%,1561,781,Competida (Swing)
156,Navojoa,2703,1846,793,441,78,1277,186,615,139,184,41.9%,184,93,Competida (Swing)
157,Guaymas,2464,2826,1473,1228,138,1273,276,999,381,347,50.9%,625,313,Segura (Crecimiento Alto)
158,Cajeme,846,1982,1179,1731,48,398,280,647,263,372,55.5%,960,481,Competida (Swing)
159,Nogales,739,3223,2250,5691,39,324,490,1151,478,456,42.8%,2433,1217,Favorable (Estable)
160,Guaymas,955,2043,1814,2745,34,381,205,630,651,448,62.4%,1712,857,Segura (Crecimiento Alto)
161,Guaymas,2241,2444,2590,2784,184,1116,285,784,912,683,63.5%,1767,884,Segura (Crecimiento Alto)
162,Navojoa,2559,2179,2346,2261,157,1085,454,912,552,637,52.2%,1180,591,Competida (Swing)
163,Navojoa,1332,1446,1854,2194,84,726,230,523,556,446,55.7%,1221,611,Segura (Crecimiento Alto)
164,Hermosillo,882,2009,2697,4881,33,437,251,697,726,653,52.7%,2571,1286,Segura (Crecimiento Alto)
165,Cajeme,1907,2036,1743,1676,111,723,164,754,389,485,51.7%,866,434,Competida (Swing)
166,Hermosillo,1561,673,1469,1919,80,664,95,189,380,269,45.5%,873,437,Segura (Crecimiento Alto)
167,Guaymas,1248,1895,2852,4311,59,477,178,574,501,626,40.7%,1754,878,Competida (Swing)
168,Guaymas,2362,2806,2593,2738,186,1104,384,720,837,733,62.4%,1708,855,Segura (Crecimiento Alto)
169,Guaymas,1901,2407,694,539,105,1030,387,904,159,213,55.2%,297,149,Competida (Swing)
170,Hermosillo,1827,1128,1987,2363,75,1014,206,431,441,490,48.3%,1140,571,Competida (Swing)
171,Guaymas,2450,707,3017,6872,123,899,96,187,648,632,43.7%,3004,1503,Segura (Crecimiento Alto)
172,San Luis Rio Colorado,556,1923,661,1256,19,287,377,757,216,146,56.4%,708,355,Favorable (Estable)
173,Nogales,1611,650,1283,1525,66,912,104,271,267,287,44.5%,678,340,Competida (Swing)
174,San Luis Rio Colorado,639,2179,2051,4462,38,253,303,608,468,494,48.3%,2155,1078,Competida (Swing)
175,San Luis Rio Colorado,2770,3188,3072,3247,100,1094,368,1298,1015,747,59.1%,1919,960,Segura (Crecimiento Alto)
176,Cajeme,1578,2798,2595,3504,105,705,230,1190,650,579,48.8%,1709,855,Segura (Crecimiento Alto)
177,Cajeme,1319,1814,2118,2692,64,615,251,768,620,544,56.6%,1523,762,Segura (Crecimiento Alto)
178,Nogales,1331,1095,2405,3630,96,661,190,392,443,502,40.5%,1470,736,Competida (Swing)
179,Nogales,815,3213,1381,3018,67,384,461,1346,418,418,62.3%,1881,941,Competida (Swing)
180,Guaymas,2864,1069,2994,4751,124,1052,170,349,688,602,44.4%,2108,1055,Segura (Crecimiento Alto)
181,Cajeme,2734,2675,641,390,173,1531,268,1120,134,130,42.4%,165,83,Favorable (Estable)
182,Navojoa,2772,2013,2927,3190,156,1208,284,579,805,700,53.0%,1690,846,Segura (Crecimiento Alto)
183,Hermosillo,2867,1807,1236,812,153,993,126,680,293,197,40.9%,331,166,Segura (Crecimiento Alto)
184,Nogales,605,2610,1323,3189,21,246,316,916,385,378,59.4%,1894,948,Segura (Crecimiento Alto)
185,Cajeme,3000,1691,1968,1699,219,1452,277,509,579,660,64.9%,1102,552,Competida (Swing)
186,San Luis Rio Colorado,1976,1593,1489,1296,78,901,173,669,366,372,51.0%,661,331,Competida (Swing)
187,Hermosillo,1926,1372,1838,1885,145,832,136,562,447,624,60.1%,1132,567,Competida (Swing)
188,Hermosillo,2057,3132,1603,1630,133,756,429,943,396,327,46.5%,757,379,Favorable (Estable)
189,Guaymas,581,2960,578,1528,34,331,375,1362,196,127,57.4%,877,439,Favorable (Estable)
190,Hermosillo,2961,3137,680,433,200,1114,566,1024,138,135,41.3%,178,90,Favorable (Estable)
191,Cajeme,505,780,1122,1673,29,262,87,243,307,394,64.3%,1076,539,Competida (Swing)
192,Hermosillo,2301,1046,1666,1705,121,1314,149,281,535,343,54.3%,926,464,Segura (Crecimiento Alto)
193,Cajeme,2240,2368,1118,854,72,798,273,942,341,238,53.3%,455,228,Segura (Crecimiento Alto)
194,Hermosillo,2200,3173,2288,2474,111,975,389,1099,643,665,58.9%,1457,729,Competida (Swing)
195,Hermosillo,2587,1544,1677,1411,122,1128,146,648,496,375,53.5%,754,378,Segura (Crecimiento Alto)
196,Nogales,548,2754,2428,7171,32,192,267,903,706,668,58.3%,4182,2092,Segura (Crecimiento Alto)
197,Hermosillo,2281,2008,1902,1737,58,880,212,626,383,471,46.3%,803,402,Competida (Swing)
198,Guaymas,2315,3083,3200,3791,118,1340,437,1485,707,655,43.9%,1663,832,Segura (Crecimiento Alto)
199,Hermosillo,951,1522,1669,2250,54,426,252,504,453,297,46.3%,1042,522,Segura (Crecimiento Alto)
200,Cajeme,643,3117,638,1611,54,322,372,1306,156,183,54.7%,881,441,Competida (Swing)
201,Nogales,2493,1719,829,485,123,1142,183,511,169,228,49.3%,239,120,Competida (Swing)
202,San Luis Rio Colorado,2178,1151,1447,1291,82,899,181,487,304,313,44.0%,567,284,Competida (Swing)
203,Guaymas,2793,2243,2558,2485,116,983,273,863,703,891,64.2%,1596,799,Competida (Swing)
204,Cajeme,845,1799,1799,2814,46,398,304,673,443,383,47.3%,1331,666,Segura (Crecimiento Alto)
205,Hermosillo,1579,1838,1029,886,74,843,120,642,332,233,56.6%,501,251,Segura (Crecimiento Alto)
206,Guaymas,1954,1446,1182,920,67,1119,201,651,258,218,41.5%,381,191,Segura (Crecimiento Alto)
207,Navojoa,1599,1980,3428,5089,106,763,146,747,771,998,53.2%,2706,1354,Competida (Swing)
208,Cajeme,1857,3048,2732,3466,161,928,363,1250,706,720,53.8%,1864,933,Competida (Swing)
209,San Luis Rio Colorado,1575,2521,3393,4998,64,801,306,1271,657,846,45.7%,2281,1141,Competida (Swing)
210,Hermosillo,502,1850,2463,6177,14,207,257,506,655,435,45.6%,2816,1409,Segura (Crecimiento Alto)
211,San Luis Rio Colorado,754,2867,2822,6754,43,300,399,1089,871,602,53.8%,3633,1817,Segura (Crecimiento Alto)
212,Navojoa,907,2454,1002,1560,45,486,193,777,247,273,53.5%,834,418,Competida (Swing)
213,Guaymas,2063,2805,813,670,96,1032,477,879,226,176,50.9%,341,171,Favorable (Estable)
214,Guaymas,2823,1352,3297,4809,225,1476,129,506,947,686,51.0%,2454,1228,Segura (Crecimiento Alto)
215,Nogales,1523,977,2520,4058,97,690,86,436,464,541,41.1%,1668,835,Competida (Swing)
216,Navojoa,1279,929,2791,5206,79,462,128,386,930,782,63.2%,3290,1646,Segura (Crecimiento Alto)
217,Guaymas,2846,1839,3413,4269,140,994,359,703,897,841,52.5%,2240,1121,Segura (Crecimiento Alto)
218,Cajeme,732,1250,2452,4498,50,333,128,567,620,856,62.0%,2790,1396,Competida (Swing)
219,San Luis Rio Colorado,659,713,2060,4090,20,336,84,244,352,460,40.6%,1661,831,Competida (Swing)
220,Nogales,2519,2251,1417,1079,108,882,205,679,390,402,57.6%,621,311,Competida (Swing)
221,Hermosillo,1689,3061,3203,4578,91,630,342,1534,759,883,52.8%,2418,1210,Competida (Swing)
222,Hermosillo,1693,781,2444,4387,82,898,72,372,615,559,49.5%,2171,1086,Segura (Crecimiento Alto)
223,Hermosillo,1617,1191,2113,2652,67,946,187,409,758,531,62.8%,1666,834,Segura (Crecimiento Alto)
224,Hermosillo,1705,1245,2489,3396,65,636,177,373,459,582,43.1%,1464,733,Competida (Swing)
225,Hermosillo,1705,642,2931,7242,108,605,125,262,724,738,51.4%,3723,1862,Competida (Swing)
226,Nogales,2385,712,3326,8264,125,1161,104,269,947,1016,60.8%,5026,2514,Competida (Swing)
227,Hermosillo,2562,3049,1173,923,245,1354,368,1269,364,340,61.8%,570,286,Favorable (Estable)
228,Cajeme,2517,2458,2509,2505,164,1284,264,1060,631,419,43.1%,1080,541,Segura (Crecimiento Alto)
229,Nogales,1449,2508,1054,1133,79,530,348,711,295,244,52.7%,596,299,Favorable (Estable)
230,Hermosillo,1804,1868,1136,933,72,953,129,690,389,301,62.6%,583,292,Segura (Crecimiento Alto)
231,Hermosillo,2412,2328,1850,1627,182,1040,359,708,678,454,63.0%,1025,513,Segura (Crecimiento Alto)
232,Navojoa,1816,2050,1685,1643,62,991,151,729,540,424,58.9%,968,485,Segura (Crecimiento Alto)
233,Guaymas,1127,2210,801,930,64,467,307,694,236,261,63.9%,594,298,Competida (Swing)
234,San Luis Rio Colorado,560,1706,1200,2249,36,204,239,546,337,289,53.8%,1208,605,Segura (Crecimiento Alto)
235,Nogales,2405,895,2995,5568,96,1113,121,436,577,613,40.9%,2279,1140,Competida (Swing)
236,San Luis Rio Colorado,1109,3020,3077,5757,41,389,294,1101,700,936,54.8%,3154,1578,Competida (Swing)
237,San Luis Rio Colorado,1025,2801,2964,5618,38,416,294,1408,848,849,59.0%,3315,1658,Competida (Swing)
238,San Luis Rio Colorado,1081,2905,3421,6610,39,531,388,1298,874,1012,56.8%,3756,1879,Competida (Swing)
239,Guaymas,993,1434,2163,3193,72,508,125,444,542,519,50.5%,1613,807,Segura (Crecimiento Alto)
240,Navojoa,2593,583,1689,2636,127,1202,99,252,611,409,62.2%,1640,821,Segura (Crecimiento Alto)
241,Navojoa,2678,2857,2910,3034,114,988,449,850,806,839,58.2%,1767,884,Competida (Swing)
242,Guaymas,1032,1720,3118,5424,35,514,153,666,683,789,48.7%,2638,1320,Competida (Swing)
243,Navojoa,1271,2316,3160,5034,61,466,221,730,712,707,46.3%,2329,1165,Segura (Crecimiento Alto)
244,Guaymas,2696,902,670,360,143,1001,107,353,131,138,41.3%,148,75,Competida (Swing)
245,Hermosillo,2163,2801,1984,1987,107,763,477,1029,613,526,59.2%,1175,588,Segura (Crecimiento Alto)
246,Guaymas,2214,2730,2758,3093,44,827,279,920,658,699,50.7%,1567,784,Competida (Swing)
247,Nogales,1595,2735,1683,1960,99,795,458,1046,295,366,40.5%,793,397,Competida (Swing)
248,Hermosillo,1042,859,2834,5843,47,445,58,315,676,489,42.4%,2476,1239,Segura (Crecimiento Alto)
249,Navojoa,2040,2372,1047,839,103,697,475,947,367,272,62.8%,527,264,Favorable (Estable)
250,Cajeme,1141,1629,1373,1558,70,477,294,576,316,406,54.2%,844,423,Competida (Swing)
251,Cajeme,2237,1305,694,386,112,819,118,395,161,197,53.2%,205,103,Competida (Swing)
