SECCION,MUNICIPIO,LISTA_NOMINAL,VOTOS_MORENA_Y_ALIADOS,VOTOS_OPOSICION,VOTOS_NULOS
137,Hermosillo,915,272,205,14
138,Hermosillo,1485,374,316,21
139,Hermosillo,581,162,103,8
140,Hermosillo,1022,342,274,19
141,Hermosillo,3010,838,733,48
142,Hermosillo,3318,809,901,52
143,Hermosillo,1440,367,296,20
144,Hermosillo,2686,868,763,50
145,Hermosillo,2565,469,606,33
146,Hermosillo,1202,317,323,19
147,Hermosillo,3425,1076,932,62
148,Hermosillo,2474,646,513,35
149,Hermosillo,909,312,228,16
150,Hermosillo,2111,533,407,29
151,Hermosillo,2503,965,613,48
152,Hermosillo,2418,666,666,41
153,Hermosillo,2885,688,468,35
154,Hermosillo,1531,433,295,22
155,Hermosillo,3310,813,608,43
156,Hermosillo,2871,894,726,50
157,Hermosillo,2886,684,938,50
158,Hermosillo,1613,454,306,23
159,Hermosillo,2432,553,488,32
160,Hermosillo,1151,248,239,15
161,Hermosillo,3015,770,601,42
162,Hermosillo,826,215,206,13
163,Hermosillo,3124,564,683,38
164,Hermosillo,1023,368,264,19
165,Hermosillo,653,155,115,8
166,Hermosillo,1416,329,263,18
167,Hermosillo,1652,496,459,29
168,Hermosillo,1115,253,200,13
169,Hermosillo,1777,396,544,29
170,Hermosillo,2199,458,484,29
171,Hermosillo,3221,938,988,59
172,Hermosillo,2234,594,801,43
173,Hermosillo,2101,443,568,31
174,Hermosillo,596,142,186,10
175,Hermosillo,2665,537,565,34
176,Hermosillo,714,161,227,12
177,Hermosillo,1595,382,517,27
178,Hermosillo,1105,422,262,21
179,Hermosillo,1507,404,305,21
180,Hermosillo,1253,357,360,22
181,Hermosillo,3310,795,502,40
182,Hermosillo,2703,727,673,43
183,Hermosillo,1083,411,259,20
184,Hermosillo,1874,430,554,30
185,Hermosillo,1107,378,301,21
186,Hermosillo,2187,735,487,37
187,Hermosillo,2228,560,370,28
188,Hermosillo,1616,330,321,20
189,Hermosillo,2852,697,912,49
190,Hermosillo,925,258,214,14
191,Hermosillo,3058,710,857,48
192,Hermosillo,2333,560,515,33
193,Hermosillo,3221,1087,865,60
194,Hermosillo,3413,794,712,46
195,Hermosillo,3379,860,932,55
196,Hermosillo,2964,557,721,39
197,Hermosillo,3117,708,566,39
198,Hermosillo,824,268,185,14
199,Hermosillo,2196,530,636,36
200,Hermosillo,788,230,219,13
201,Hermosillo,890,183,208,12
202,Hermosillo,2390,635,724,42
203,Hermosillo,1001,315,252,17
204,Hermosillo,2443,443,614,32
205,Hermosillo,2620,606,461,32
206,Hermosillo,615,168,192,11
207,Hermosillo,2957,639,712,41
208,Hermosillo,1889,521,416,28
209,Hermosillo,3198,667,703,42
210,Hermosillo,2386,636,750,42
211,Hermosillo,3234,770,1071,56
212,Hermosillo,2441,534,710,38
213,Hermosillo,1291,444,303,23
214,Hermosillo,3010,760,597,41
215,Hermosillo,781,182,225,12
216,Hermosillo,1552,299,326,19
217,Hermosillo,1925,486,592,33
218,Hermosillo,1989,520,375,27
219,Hermosillo,2176,602,645,38
220,Hermosillo,1672,464,426,27
221,Hermosillo,1730,468,416,27
222,Hermosillo,1082,264,272,16
223,Hermosillo,2139,489,627,34
224,Hermosillo,875,183,185,11
225,Hermosillo,1701,391,540,28
226,Hermosillo,2854,632,896,47
227,Hermosillo,2454,686,441,34
228,Hermosillo,1612,415,332,23
229,Hermosillo,3064,760,780,47
230,Hermosillo,1336,252,281,16
231,Hermosillo,677,129,159,8
232,Hermosillo,1898,581,365,29
233,Hermosillo,1396,349,256,18
234,Hermosillo,2185,708,617,40
235,Hermosillo,2208,600,780,42
236,Hermosillo,2320,479,440,28
237,Hermosillo,2906,644,530,36
238,Hermosillo,2323,449,514,29
239,Hermosillo,1133,307,204,15
240,Hermosillo,850,205,187,12
241,Hermosillo,3088,853,1027,58
242,Hermosillo,2153,435,425,26
243,Hermosillo,3050,1074,848,59
244,Hermosillo,2500,470,529,30
245,Hermosillo,1167,410,310,22
246,Hermosillo,857,243,201,13
247,Hermosillo,2733,547,625,36
248,Hermosillo,2533,800,533,41
249,Hermosillo,1851,451,392,26
250,Hermosillo,2400,716,464,36
251,Hermosillo,2669,541,670,37
252,Hermosillo,650,229,180,12
253,Hermosillo,3109,938,810,54
254,Hermosillo,2340,893,555,44
255,Hermosillo,834,179,225,12
256,Hermosillo,2877,736,623,42
257,Hermosillo,2067,364,509,26
258,Hermosillo,917,277,178,14
259,Hermosillo,761,197,239,13
260,Hermosillo,1566,410,318,22
261,Hermosillo,2616,477,647,34
262,Hermosillo,2049,485,347,25
263,Hermosillo,2587,626,602,37
264,Hermosillo,1951,456,608,32
265,Hermosillo,2421,513,651,35
266,Hermosillo,902,270,224,15
267,Hermosillo,1505,394,417,25
268,Hermosillo,3091,888,835,53
269,Hermosillo,762,248,167,12
270,Hermosillo,1419,362,475,25
271,Hermosillo,2852,802,512,40
272,Hermosillo,2820,750,733,45
273,Hermosillo,1478,528,355,27
274,Hermosillo,1254,301,271,17
275,Hermosillo,1159,243,346,18
276,Hermosillo,2331,642,523,36
277,Hermosillo,994,249,282,16
278,Hermosillo,1957,371,460,25
279,Hermosillo,2508,596,663,38
280,Hermosillo,2033,571,678,38
281,Hermosillo,668,222,175,12
282,Hermosillo,758,148,169,9
283,Hermosillo,672,177,174,10
284,Hermosillo,729,171,145,9
285,Hermosillo,3309,725,947,51
286,Hermosillo,2891,676,650,40
287,Hermosillo,3193,1140,845,61
288,Hermosillo,1899,626,427,32
289,Hermosillo,1857,443,414,26
290,Hermosillo,3130,811,520,41
291,Hermosillo,2801,973,609,48
292,Hermosillo,1255,384,366,23
293,Hermosillo,2824,754,475,37
294,Hermosillo,1404,412,471,27
295,Hermosillo,1903,672,472,35
296,Hermosillo,918,195,247,13
297,Hermosillo,3049,769,490,38
298,Hermosillo,1543,278,367,19
299,Hermosillo,2289,560,601,35
300,Hermosillo,3390,748,853,49
301,Hermosillo,2452,801,556,41
302,Hermosillo,3200,745,1016,54
303,Hermosillo,723,221,227,13
304,Hermosillo,1205,306,313,19
305,Hermosillo,1434,416,285,21
306,Hermosillo,2599,543,589,35
307,Hermosillo,2979,642,668,40
308,Hermosillo,1457,395,375,23
309,Hermosillo,872,176,222,12
310,Hermosillo,3170,817,629,44
311,Hermosillo,1820,451,329,24
312,Hermosillo,1259,230,268,15
313,Hermosillo,3233,847,878,53
314,Hermosillo,1499,330,468,24
315,Hermosillo,2505,646,603,38
316,Hermosillo,699,210,163,11
317,Hermosillo,2751,744,669,43
318,Hermosillo,795,235,215,13
319,Hermosillo,1412,266,339,18
320,Hermosillo,2672,792,789,48
321,Hermosillo,1872,534,445,30
322,Hermosillo,2551,752,556,40
323,Hermosillo,1100,249,278,16
324,Hermosillo,3354,1113,717,56
325,Hermosillo,3168,1190,796,61
326,Hermosillo,1066,251,215,14
327,Hermosillo,852,324,207,16
328,Hermosillo,2941,773,819,49
329,Hermosillo,2815,802,692,46
330,Hermosillo,910,231,226,14
331,Hermosillo,2087,701,561,39
332,Hermosillo,1746,495,580,33
333,Hermosillo,3187,890,654,47
334,Hermosillo,1735,330,466,24
335,Hermosillo,1255,458,296,23
336,Hermosillo,603,189,161,10
337,Hermosillo,1524,436,422,26
338,Hermosillo,1090,244,326,17
339,Hermosillo,1239,349,271,19
340,Hermosillo,2458,590,811,43
341,Hermosillo,3317,1095,722,56
342,Hermosillo,1143,270,319,18
343,Hermosillo,1458,310,356,20
344,Hermosillo,2347,715,516,38
345,Hermosillo,1917,574,577,35
346,Hermosillo,3211,833,708,47
347,Hermosillo,2224,499,553,32
348,Hermosillo,2074,586,415,30
349,Hermosillo,2504,501,706,37
350,Hermosillo,2283,738,695,44
351,Hermosillo,3448,885,880,54
352,Hermosillo,1913,567,361,28
353,Hermosillo,1033,219,266,14
354,Hermosillo,1582,315,399,22
355,Hermosillo,1323,441,375,25
356,Hermosillo,769,185,200,11
357,Hermosillo,1440,506,344,26
358,Hermosillo,1703,331,412,22
359,Hermosillo,1013,223,272,15
360,Hermosillo,1660,423,306,22
361,Hermosillo,1187,312,291,18
362,Hermosillo,3045,663,825,46
363,Hermosillo,1375,300,363,20
364,Hermosillo,586,190,138,10
365,Hermosillo,1906,487,531,31
366,Hermosillo,899,238,314,17
367,Hermosillo,737,193,123,9
368,Hermosillo,2819,910,709,50
369,Hermosillo,2300,496,668,35
370,Hermosillo,1159,242,271,15
371,Hermosillo,2037,674,523,36
372,Hermosillo,1127,255,194,13
373,Hermosillo,734,180,184,11
374,Hermosillo,2136,654,542,36
375,Hermosillo,1675,393,472,26
376,Hermosillo,2482,562,446,31
377,Hermosillo,1707,503,564,33
378,Hermosillo,681,184,200,11
379,Hermosillo,721,149,142,8
380,Hermosillo,1199,283,197,14
381,Hermosillo,2832,669,896,48
382,Hermosillo,841,176,167,10
383,Hermosillo,3006,840,641,45
384,Hermosillo,2381,651,414,32
385,Hermosillo,880,206,225,13
386,Hermosillo,1979,445,506,29
387,Hermosillo,2648,612,665,39
388,Hermosillo,2311,533,590,34
389,Hermosillo,2233,745,603,41
390,Hermosillo,3246,617,726,41
391,Hermosillo,2895,566,796,42
392,Hermosillo,2710,904,763,51
393,Hermosillo,2335,849,526,42
394,Hermosillo,1698,464,547,31
395,Hermosillo,2320,653,716,42
396,Hermosillo,811,195,219,12
397,Hermosillo,1143,357,307,20
398,Hermosillo,2484,683,835,46
399,Hermosillo,740,181,165,10
400,Hermosillo,2023,344,452,24
401,Hermosillo,2918,618,865,45
402,Hermosillo,2880,746,883,50
403,Hermosillo,1750,331,474,24
404,Hermosillo,986,346,262,18
405,Hermosillo,779,221,183,12
406,Hermosillo,2557,863,545,43
407,Hermosillo,1062,268,225,15
408,Hermosillo,2648,535,718,38
409,Hermosillo,3008,549,700,38
410,Hermosillo,1267,378,409,24
411,Hermosillo,1593,523,347,26
412,Hermosillo,1928,530,535,32
413,Hermosillo,2779,797,543,41
414,Hermosillo,2564,653,758,43
415,Hermosillo,2172,625,632,38
416,Hermosillo,1768,515,387,27
417,Hermosillo,3389,1028,672,52
418,Hermosillo,2094,453,373,25
419,Hermosillo,1171,355,238,18
420,Hermosillo,698,189,145,10
421,Hermosillo,1773,362,472,25
422,Hermosillo,2392,722,456,36
423,Hermosillo,2096,580,465,32
424,Hermosillo,3219,872,732,49
425,Hermosillo,2548,676,541,37
426,Hermosillo,1344,500,347,26
427,Hermosillo,1345,353,435,24
428,Hermosillo,1775,405,320,22
429,Hermosillo,3375,939,768,52
430,Hermosillo,1854,474,355,25
431,Hermosillo,1951,469,379,26
432,Hermosillo,3322,744,930,51
433,Hermosillo,1512,359,308,20
434,Hermosillo,2279,620,530,35
435,Hermosillo,1482,379,403,24
436,Hermosillo,2374,615,845,45
437,Hermosillo,3075,880,788,51
438,Hermosillo,1554,400,334,22
439,Hermosillo,2477,758,771,47
440,Hermosillo,1159,327,360,21
441,Hermosillo,1412,280,313,18
442,Hermosillo,2300,440,516,29
443,Hermosillo,1168,315,298,18
444,Hermosillo,2029,451,591,32
445,Hermosillo,3169,718,775,46
446,Hermosillo,2820,511,714,37
447,Hermosillo,2510,583,560,35
448,Hermosillo,1895,365,488,26
449,Hermosillo,1472,384,280,20
450,Hermosillo,1028,309,192,15
451,Hermosillo,764,205,165,11
452,Hermosillo,2181,491,547,32
453,Hermosillo,1691,588,403,30
454,Hermosillo,2002,377,419,24
455,Hermosillo,692,181,220,12
456,Hermosillo,2691,588,607,36
457,Hermosillo,1435,449,354,24
458,Hermosillo,909,256,185,13
459,Hermosillo,1279,294,400,21
460,Hermosillo,1979,631,544,36
461,Hermosillo,2048,528,365,27
462,Hermosillo,3366,1058,687,53
463,Hermosillo,1535,486,343,25
464,Hermosillo,1854,409,310,22
465,Hermosillo,1477,400,376,24
466,Hermosillo,823,292,221,15
467,Hermosillo,1764,664,430,33
468,Hermosillo,1539,358,299,20
469,Hermosillo,1825,635,466,34
470,Hermosillo,769,243,178,12
471,Hermosillo,890,228,296,16
472,Hermosillo,1302,425,367,24
473,Hermosillo,2158,543,661,37
474,Hermosillo,902,224,146,11
475,Hermosillo,879,263,282,16
476,Hermosillo,2919,704,749,44
477,Hermosillo,2526,478,617,33
478,Hermosillo,2113,688,517,37
479,Hermosillo,2525,687,804,46
480,Hermosillo,2425,456,590,32
481,Hermosillo,2803,640,545,36
482,Hermosillo,3029,868,538,43
483,Hermosillo,3069,762,522,39
484,Hermosillo,3268,925,1025,60
485,Hermosillo,1233,355,352,21
486,Hermosillo,1386,361,370,22
487,Hermosillo,3414,882,566,44
488,Hermosillo,1102,240,319,17
489,Hermosillo,1420,343,381,22
490,Hermosillo,2804,837,856,52
491,Hermosillo,2909,714,923,50
492,Hermosillo,1068,298,213,15
493,Hermosillo,1762,379,346,22
494,Hermosillo,3384,819,975,55
495,Hermosillo,1345,391,444,25
496,Hermosillo,2701,689,496,36
497,Hermosillo,1810,441,444,27
498,Hermosillo,2845,717,1004,53
499,Hermosillo,1109,288,288,17
500,Hermosillo,2748,685,550,38
501,Cajeme,1906,445,452,27
502,Cajeme,2955,698,522,37
503,Cajeme,1380,317,427,23
504,Cajeme,2755,563,703,39
505,Cajeme,1278,387,394,24
506,Cajeme,2884,684,872,48
507,Cajeme,2845,582,712,39
508,Cajeme,3126,759,657,43
509,Cajeme,2555,769,535,40
510,Cajeme,3171,742,1047,55
511,Cajeme,1085,201,284,14
512,Cajeme,663,205,162,11
513,Cajeme,652,159,178,10
514,Cajeme,2260,579,800,42
515,Cajeme,1350,394,267,20
516,Cajeme,1696,297,380,20
517,Cajeme,2609,663,745,43
518,Cajeme,2325,713,716,44
519,Cajeme,3416,984,1023,62
520,Cajeme,638,199,182,11
521,Cajeme,1044,278,376,20
522,Cajeme,934,156,209,11
523,Cajeme,1925,556,447,31
524,Cajeme,1635,495,471,29
525,Cajeme,3144,725,748,45
526,Cajeme,1298,347,259,18
527,Cajeme,2617,908,598,46
528,Cajeme,841,200,249,13
529,Cajeme,1291,399,367,23
530,Cajeme,2122,682,586,39
531,Cajeme,1169,251,218,14
532,Cajeme,1561,403,475,27
533,Cajeme,2352,596,501,33
534,Cajeme,2563,601,586,36
535,Cajeme,1237,211,301,15
536,Cajeme,1475,307,267,17
537,Cajeme,2666,654,706,42
538,Cajeme,1850,552,607,35
539,Cajeme,1971,720,517,38
540,Cajeme,2324,640,773,43
541,Cajeme,2264,526,522,32
542,Cajeme,2838,786,695,45
543,Cajeme,1168,310,409,22
544,Cajeme,1890,373,408,24
545,Cajeme,1586,300,357,20
546,Cajeme,641,176,195,11
547,Cajeme,787,250,237,15
548,Cajeme,733,221,153,11
549,Cajeme,1528,346,487,25
550,Cajeme,2797,511,680,36
551,Cajeme,2986,624,570,36
552,Cajeme,673,180,226,12
553,Cajeme,2796,504,607,34
554,Cajeme,3001,619,770,42
555,Cajeme,1484,515,403,28
556,Cajeme,2801,909,595,46
557,Cajeme,691,194,148,10
558,Cajeme,2395,732,601,41
559,Cajeme,647,129,137,8
560,Cajeme,783,152,178,10
561,Cajeme,3366,1179,801,61
562,Cajeme,2316,681,675,41
563,Cajeme,3033,828,567,43
564,Cajeme,1946,482,323,24
565,Cajeme,2803,576,712,39
566,Cajeme,2861,573,712,39
567,Cajeme,1244,377,276,20
568,Cajeme,1054,236,199,13
569,Cajeme,3106,976,768,53
570,Cajeme,933,209,233,13
571,Cajeme,1293,380,409,24
572,Cajeme,1578,420,573,30
573,Cajeme,1803,442,399,25
574,Cajeme,2040,620,512,35
575,Cajeme,2010,526,665,36
576,Cajeme,3341,1038,695,53
577,Cajeme,2419,748,618,42
578,Cajeme,1941,476,516,30
579,Cajeme,2063,453,601,32
580,Cajeme,3040,741,1056,55
581,Cajeme,607,148,100,7
582,Cajeme,1539,526,392,28
583,Cajeme,3108,740,471,37
584,Cajeme,3379,854,1212,63
585,Cajeme,868,261,264,16
586,Cajeme,1862,436,374,25
587,Cajeme,2107,767,476,38
588,Cajeme,2466,514,469,30
589,Cajeme,1143,330,346,20
590,Cajeme,692,158,180,10
591,Cajeme,3159,680,678,42
592,Cajeme,916,191,226,12
593,Cajeme,2059,399,470,26
594,Cajeme,1167,302,310,18
595,Cajeme,2249,648,480,34
596,Cajeme,2478,653,793,44
597,Cajeme,1052,323,273,18
598,Cajeme,1043,332,318,20
599,Cajeme,731,208,200,12
600,Cajeme,1820,515,367,27
601,Cajeme,1482,290,378,20
602,Cajeme,2464,678,788,45
603,Cajeme,1351,330,442,23
604,Cajeme,876,164,193,11
605,Cajeme,1385,382,427,24
606,Cajeme,840,209,247,14
607,Cajeme,942,237,195,13
608,Cajeme,1192,378,353,22
609,Cajeme,3230,1113,735,57
610,Cajeme,2669,728,722,44
611,Cajeme,3134,801,601,43
612,Cajeme,1635,439,397,25
613,Cajeme,1880,543,553,33
614,Cajeme,1769,492,497,30
615,Cajeme,1662,514,376,27
616,Cajeme,700,186,130,9
617,Cajeme,2804,741,694,44
618,Cajeme,2740,668,767,44
619,Cajeme,2971,1121,729,57
620,Cajeme,1627,560,425,30
621,Cajeme,2055,485,597,33
622,Cajeme,1966,527,691,37
623,Cajeme,787,263,204,14
624,Cajeme,1465,402,491,27
625,Cajeme,2500,428,554,30
626,Cajeme,2295,604,484,33
627,Cajeme,1756,539,525,32
628,Cajeme,2446,479,549,31
629,Cajeme,829,213,247,14
630,Cajeme,2718,739,707,44
631,Cajeme,1908,390,381,23
632,Cajeme,2303,588,828,43
633,Cajeme,784,203,184,11
634,Cajeme,1176,232,260,15
635,Cajeme,2202,443,479,28
636,Cajeme,1515,290,317,18
637,Cajeme,2887,594,558,35
638,Cajeme,1669,366,486,26
639,Cajeme,2417,507,493,30
640,Cajeme,660,192,207,12
641,Cajeme,2374,567,744,40
642,Cajeme,1761,412,525,28
643,Cajeme,3168,961,993,60
644,Cajeme,2862,961,625,49
645,Cajeme,1503,461,418,27
646,Cajeme,3271,575,784,42
647,Cajeme,3119,768,672,44
648,Cajeme,1415,322,323,19
649,Cajeme,2264,707,503,37
650,Cajeme,2052,394,457,26
651,Cajeme,779,241,244,15
652,Cajeme,1252,290,260,17
653,Cajeme,2898,906,755,51
654,Cajeme,3238,882,832,52
655,Cajeme,745,170,164,10
656,Cajeme,2687,742,462,37
657,Cajeme,3377,645,761,43
658,Cajeme,1294,403,357,23
659,Cajeme,1950,586,417,31
660,Cajeme,650,143,118,8
661,Cajeme,1397,287,273,17
662,Cajeme,1109,357,274,19
663,Cajeme,1155,291,249,16
664,Cajeme,2998,927,906,56
665,Cajeme,3030,695,646,41
666,Cajeme,2723,659,700,42
667,Cajeme,1060,263,310,17
668,Cajeme,2750,474,618,33
669,Cajeme,1996,401,537,29
670,Cajeme,3234,865,667,47
671,Cajeme,3341,775,730,46
672,Cajeme,657,180,189,11
673,Cajeme,3069,658,758,43
674,Cajeme,2486,830,548,42
675,Cajeme,1546,533,411,29
676,Cajeme,716,195,212,12
677,Cajeme,888,207,185,12
678,Cajeme,1091,260,303,17
679,Cajeme,3439,1173,948,65
680,Cajeme,2881,1088,690,54
681,Cajeme,2523,548,535,33
682,Cajeme,3065,756,741,46
683,Cajeme,2447,683,613,40
684,Cajeme,2402,622,413,31
685,Cajeme,1975,493,582,33
686,Cajeme,3049,843,603,44
687,Cajeme,2485,684,829,46
688,Cajeme,1836,539,462,30
689,Cajeme,3440,1044,713,54
690,Cajeme,2112,567,385,29
691,Cajeme,1281,458,315,23
692,Cajeme,686,206,140,10
693,Cajeme,2843,774,635,43
694,Cajeme,2791,704,851,48
695,Cajeme,2135,775,519,40
696,Cajeme,1363,322,413,22
697,Cajeme,1219,256,281,16
698,Cajeme,2277,695,631,40
699,Cajeme,2303,520,483,31
700,Cajeme,1357,374,331,21
701,Cajeme,1891,478,393,26
702,Cajeme,1084,280,364,19
703,Cajeme,810,245,204,13
704,Cajeme,2331,633,532,36
705,Cajeme,1796,374,398,23
706,Cajeme,1816,418,412,25
707,Cajeme,657,124,137,8
708,Cajeme,1160,203,286,15
709,Cajeme,3090,601,611,37
710,Cajeme,2366,683,612,40
711,Cajeme,2860,776,833,49
712,Cajeme,1948,529,567,33
713,Cajeme,2411,473,463,28
714,Cajeme,1125,223,286,15
715,Cajeme,2991,601,603,37
716,Cajeme,1345,341,294,19
717,Cajeme,1696,401,420,25
718,Cajeme,1800,563,560,34
719,Cajeme,1876,516,502,31
720,Cajeme,1306,337,447,24
721,Cajeme,1297,366,256,19
722,Cajeme,3449,638,866,46
723,Cajeme,3130,1142,708,57
724,Cajeme,1942,440,539,30
725,Cajeme,977,209,201,12
726,Cajeme,1814,382,427,24
727,Cajeme,3061,846,942,55
728,Cajeme,765,185,136,9
729,Cajeme,2116,465,430,27
730,Cajeme,2003,510,656,36
731,Cajeme,901,287,261,16
732,Cajeme,1143,276,226,15
733,Cajeme,2538,754,591,41
734,Cajeme,2179,673,654,41
735,Cajeme,2579,668,904,48
736,Cajeme,1766,399,437,25
737,Cajeme,587,136,134,8
738,Cajeme,1345,279,308,18
739,Cajeme,1491,505,422,28
740,Cajeme,3282,653,753,43
741,Cajeme,1614,485,465,29
742,Cajeme,2530,730,805,47
743,Cajeme,1912,557,410,29
744,Cajeme,2029,369,452,25
745,Cajeme,1613,409,407,25
746,Cajeme,2570,570,729,40
747,Cajeme,1980,472,660,35
748,Cajeme,910,168,223,12
749,Cajeme,2722,492,638,34
750,Cajeme,2113,492,435,28
751,Cajeme,3023,879,957,56
752,Cajeme,3007,977,869,57
753,Cajeme,2293,619,595,37
754,Cajeme,1419,420,356,23
755,Cajeme,3030,796,640,44
756,Cajeme,2737,877,578,45
757,Cajeme,2441,917,600,46
758,Cajeme,2134,543,650,36
759,Cajeme,852,213,237,13
760,Cajeme,1206,259,291,16
761,Cajeme,1634,406,362,23
762,Cajeme,2308,654,591,38
763,Cajeme,700,121,170,9
764,Cajeme,1338,339,289,19
765,Cajeme,732,217,217,13
766,Cajeme,1885,618,428,32
767,Cajeme,1079,318,199,15
768,Cajeme,986,332,235,17
769,Cajeme,627,146,109,7
770,Cajeme,2370,800,526,41
771,Cajeme,2342,461,520,30
772,Cajeme,1067,228,201,13
773,Cajeme,1384,241,309,17
774,Cajeme,1995,610,486,33
775,Cajeme,2864,677,604,39
776,Cajeme,2696,813,633,44
777,Cajeme,1654,420,508,28
778,Cajeme,775,203,247,13
779,Cajeme,3226,1036,761,55
780,Cajeme,1524,371,393,23
781,Cajeme,1581,398,339,22
782,Cajeme,1098,265,356,19
783,Cajeme,3162,603,852,44
784,Cajeme,2612,638,462,34
785,Cajeme,3001,675,928,49
786,Cajeme,2318,673,537,37
787,Cajeme,2017,368,490,26
788,Cajeme,3337,1075,882,60
789,Cajeme,2829,808,552,42
790,Cajeme,1942,348,414,23
791,Cajeme,1543,467,373,25
