SECCION,MUNICIPIO,LISTA_NOMINAL,VOTOS_MORENA_Y_ALIADOS,VOTOS_OPOSICION,VOTOS_NULOS
85,Hermosillo,1317,27,500,16
86,Hermosillo,627,33,295,10
87,Hermosillo,1097,26,405,13
88,Hermosillo,2128,116,753,26
89,Hermosillo,832,47,323,11
90,Hermosillo,1334,98,692,24
91,Hermosillo,842,48,435,14
92,Hermosillo,2224,191,1061,38
93,Hermosillo,2524,120,1044,35
94,Hermosillo,2739,164,1416,48
95,Hermosillo,2678,84,1074,35
96,Hermosillo,2017,124,730,26
97,Hermosillo,1296,69,554,19
98,Hermosillo,1959,137,992,34
99,Hermosillo,2154,168,1080,38
100,Hermosillo,1096,51,479,16
101,Hermosillo,2880,122,1075,36
102,Hermosillo,1106,47,475,16
103,Hermosillo,2368,99,873,30
104,Hermosillo,580,17,210,6
105,Hermosillo,2922,135,1702,56
106,Hermosillo,2462,101,1065,36
107,Hermosillo,1509,94,700,24
108,Hermosillo,1034,43,407,13
109,Hermosillo,1645,94,715,25
110,Hermosillo,2089,72,828,27
111,Hermosillo,1371,130,717,26
112,Hermosillo,2471,82,1413,46
113,Hermosillo,625,29,273,9
114,Hermosillo,1486,78,752,25
115,Hermosillo,1660,93,554,20
116,Hermosillo,2956,179,1192,42
117,Hermosillo,1483,100,565,20
118,Hermosillo,1247,57,464,16
119,Hermosillo,1671,63,633,21
120,Hermosillo,2609,90,1020,34
121,Hermosillo,857,31,349,11
122,Hermosillo,2589,174,1227,43
123,Hermosillo,714,23,332,10
124,Hermosillo,1637,56,595,20
125,Hermosillo,1494,98,648,23
126,Hermosillo,2845,198,1324,47
127,Hermosillo,682,15,277,9
128,Hermosillo,1469,112,662,23
129,Hermosillo,2900,211,1310,47
130,Hermosillo,2629,170,1267,44
131,Hermosillo,1792,84,860,29
132,Hermosillo,2189,143,1189,41
133,Hermosillo,2522,188,1362,47
134,Hermosillo,2482,66,1208,39
135,Hermosillo,2030,114,1105,37
136,Hermosillo,2858,169,1201,42
137,Hermosillo,796,33,445,14
138,Hermosillo,1292,51,502,17
139,Hermosillo,506,38,268,9
140,Hermosillo,889,69,446,15
141,Hermosillo,2618,136,1120,38
142,Hermosillo,2886,213,1325,47
143,Hermosillo,1253,58,722,24
144,Hermosillo,2336,76,1390,45
145,Hermosillo,2231,168,1190,42
146,Hermosillo,1046,52,359,12
147,Hermosillo,2979,156,1461,50
148,Hermosillo,2152,182,1055,38
149,Hermosillo,791,53,359,12
150,Hermosillo,1836,99,755,26
151,Hermosillo,2177,151,843,30
152,Hermosillo,2103,156,1112,39
153,Hermosillo,2509,147,1162,40
154,Hermosillo,1332,56,630,21
155,Hermosillo,2879,162,1163,40
156,Hermosillo,2497,169,1347,46
157,Hermosillo,2510,67,985,32
158,Hermosillo,1403,69,677,23
159,Hermosillo,2115,140,1100,38
160,Hermosillo,1001,58,411,14
161,Hermosillo,2622,210,1348,48
162,Hermosillo,719,41,280,9
163,Hermosillo,2717,259,1454,52
164,Hermosillo,890,46,444,15
165,Hermosillo,568,32,195,7
166,Hermosillo,1232,83,503,18
167,Hermosillo,1437,81,535,19
168,Hermosillo,970,66,482,16
169,Hermosillo,1546,48,821,26
170,Hermosillo,1913,130,772,27
171,Hermosillo,2801,133,1066,37
172,Hermosillo,1943,82,740,25
173,Hermosillo,1827,105,726,25
174,Hermosillo,519,26,238,8
175,Hermosillo,2318,66,860,28
176,Hermosillo,621,52,332,11
177,Hermosillo,1387,76,498,17
178,Hermosillo,961,49,353,12
179,Hermosillo,1311,79,679,23
180,Hermosillo,1090,55,388,13
181,Hermosillo,2879,85,1438,47
182,Hermosillo,2351,89,918,31
183,Hermosillo,942,50,513,17
184,Hermosillo,1630,59,959,31
185,Hermosillo,963,29,434,14
186,Hermosillo,1902,66,982,32
187,Hermosillo,1938,71,731,24
188,Hermosillo,1406,40,726,23
189,Hermosillo,2480,81,1316,43
190,Hermosillo,805,76,422,15
191,Hermosillo,2660,163,1087,38
192,Hermosillo,2029,110,1052,35
193,Hermosillo,2801,167,932,33
194,Hermosillo,2968,161,1376,47
195,Hermosillo,2939,277,1540,56
196,Hermosillo,2578,86,1269,41
197,Hermosillo,2711,206,1458,51
198,Hermosillo,717,58,342,12
199,Hermosillo,1910,116,681,24
200,Hermosillo,686,27,250,8
201,Hermosillo,774,27,410,13
202,Hermosillo,2079,126,935,32
203,Hermosillo,871,32,415,13
204,Hermosillo,2125,104,875,30
205,Hermosillo,2279,171,1211,42
206,Hermosillo,535,25,211,7
207,Hermosillo,2572,116,1248,42
208,Hermosillo,1643,45,664,21
209,Hermosillo,2781,140,996,35
210,Hermosillo,2075,161,980,35
211,Hermosillo,2813,108,1386,46
212,Hermosillo,2123,123,1085,37
213,Hermosillo,1123,39,455,15
214,Hermosillo,2618,117,1372,46
215,Hermosillo,680,47,339,11
216,Hermosillo,1350,32,552,18
217,Hermosillo,1674,88,593,21
218,Hermosillo,1730,80,934,31
219,Hermosillo,1893,71,794,26
220,Hermosillo,1454,89,631,22
221,Hermosillo,1505,57,588,19
222,Hermosillo,941,40,507,16
223,Hermosillo,1860,58,1001,32
224,Hermosillo,761,23,365,11
225,Hermosillo,1480,122,735,26
226,Hermosillo,2482,140,979,34
227,Hermosillo,2134,77,1036,34
228,Hermosillo,1402,48,517,17
229,Hermosillo,2665,106,1387,46
230,Hermosillo,1162,71,451,16
231,Hermosillo,589,29,308,10
232,Hermosillo,1651,93,786,27
233,Hermosillo,1214,68,552,19
234,Hermosillo,1900,86,855,29
235,Hermosillo,1920,65,937,30
236,Hermosillo,2018,80,768,26
237,Hermosillo,2527,77,1306,42
238,Hermosillo,2020,56,1025,33
239,Hermosillo,986,67,386,13
240,Hermosillo,740,42,301,10
241,Hermosillo,2686,124,1226,41
242,Hermosillo,1873,61,686,23
243,Hermosillo,2653,80,1047,34
244,Hermosillo,2174,165,919,33
245,Hermosillo,1015,59,381,13
246,Hermosillo,746,51,402,13
247,Hermosillo,2377,93,1393,45
248,Hermosillo,2203,92,781,26
249,Hermosillo,1610,77,573,20
250,Hermosillo,2087,68,797,26
251,Hermosillo,2321,153,894,32
252,Hermosillo,566,28,233,8
253,Hermosillo,2704,119,1528,50
254,Hermosillo,2035,80,733,25
255,Hermosillo,726,57,400,14
256,Hermosillo,2502,80,920,30
257,Hermosillo,1798,145,965,34
258,Hermosillo,798,49,364,12
259,Hermosillo,662,22,262,8
260,Hermosillo,1362,104,612,22
261,Hermosillo,2275,117,919,32
262,Hermosillo,1782,130,745,27
263,Hermosillo,2250,70,951,31
264,Hermosillo,1697,134,933,33
265,Hermosillo,2106,134,1050,36
266,Hermosillo,785,74,411,15
267,Hermosillo,1309,42,592,19
268,Hermosillo,2688,147,1123,39
269,Hermosillo,663,15,265,8
270,Hermosillo,1234,92,522,18
271,Hermosillo,2480,102,1321,43
272,Hermosillo,2453,145,996,35
273,Hermosillo,1286,31,521,17
274,Hermosillo,1091,60,383,13
275,Hermosillo,1008,48,431,14
276,Hermosillo,2027,66,1039,34
277,Hermosillo,865,27,389,12
278,Hermosillo,1702,110,824,28
279,Hermosillo,2181,103,1073,36
280,Hermosillo,1768,101,885,30
281,Hermosillo,581,45,271,9
282,Hermosillo,660,24,365,12
283,Hermosillo,585,40,229,8
284,Hermosillo,634,32,301,10
285,Hermosillo,2878,248,1472,53
286,Hermosillo,2514,124,1022,35
287,Hermosillo,2777,73,1340,43
288,Hermosillo,1652,99,727,25
289,Hermosillo,1615,69,795,26
290,Hermosillo,2722,80,1076,35
291,Hermosillo,2436,100,1123,37
292,Hermosillo,1092,49,622,20
293,Hermosillo,2456,183,1277,45
294,Hermosillo,1221,40,470,15
295,Hermosillo,1655,85,780,26
296,Hermosillo,799,40,306,10
297,Hermosillo,2652,83,1256,41
298,Hermosillo,1342,61,554,19
299,Hermosillo,1991,164,1073,38
300,Hermosillo,2948,233,1402,50
301,Hermosillo,2133,102,882,30
302,Hermosillo,2783,177,1007,36
303,Hermosillo,629,54,302,10
304,Hermosillo,1048,63,564,19
305,Hermosillo,1247,82,461,16
306,Hermosillo,2260,112,1309,43
307,Hermosillo,2591,217,1340,48
308,Hermosillo,1267,40,570,18
309,Hermosillo,759,47,267,9
310,Hermosillo,2757,70,1082,35
311,Hermosillo,1583,69,734,24
312,Hermosillo,1095,40,478,15
313,Hermosillo,2812,219,1336,48
314,Hermosillo,1304,40,677,22
315,Hermosillo,2179,124,1226,41
316,Hermosillo,608,28,285,9
317,Hermosillo,2393,166,1003,36
318,Hermosillo,692,25,276,9
319,Hermosillo,1228,48,492,16
320,Hermosillo,2324,125,1102,37
321,Hermosillo,1628,50,693,22
322,Hermosillo,2219,129,883,31
323,Hermosillo,957,55,355,12
324,Hermosillo,2917,89,1066,35
325,Hermosillo,2755,134,1336,45
326,Hermosillo,927,25,468,15
327,Hermosillo,741,38,331,11
328,Hermosillo,2558,174,1191,42
329,Hermosillo,2448,136,1122,38
330,Hermosillo,792,48,401,13
331,Hermosillo,1815,51,726,24
332,Hermosillo,1519,86,813,27
333,Hermosillo,2772,171,1280,44
334,Hermosillo,1509,102,672,23
335,Hermosillo,1092,43,480,16
336,Hermosillo,525,42,245,8
337,Hermosillo,1326,120,711,25
338,Hermosillo,948,47,368,12
339,Hermosillo,1078,101,571,20
340,Hermosillo,2138,102,1056,35
341,Hermosillo,2885,174,1357,47
342,Hermosillo,994,49,451,15
343,Hermosillo,1268,94,673,23
344,Hermosillo,2041,95,1163,38
345,Hermosillo,1667,108,700,24
346,Hermosillo,2793,68,1213,39
347,Hermosillo,1934,173,990,35
348,Hermosillo,1804,122,924,32
349,Hermosillo,2178,122,1104,37
350,Hermosillo,1986,62,976,32
351,Hermosillo,2999,190,1312,46
352,Hermosillo,1664,53,895,29
353,Hermosillo,899,72,420,15
354,Hermosillo,1376,53,657,21
355,Hermosillo,1151,41,484,16
356,Hermosillo,669,47,304,10
357,Hermosillo,1253,71,681,23
358,Hermosillo,1481,82,629,21
359,Hermosillo,881,34,383,12
360,Hermosillo,1444,96,601,21
361,Hermosillo,1033,26,472,15
362,Hermosillo,2648,171,1491,51
363,Hermosillo,1196,58,554,18
364,Hermosillo,510,37,211,7
365,Hermosillo,1658,56,721,24
366,Hermosillo,782,23,331,10
367,Hermosillo,641,45,350,12
368,Hermosillo,2452,105,1123,37
369,Hermosillo,2000,169,1012,36
370,Hermosillo,1008,30,410,13
371,Hermosillo,1772,61,806,26
372,Hermosillo,980,58,372,13
373,Hermosillo,639,33,291,10
374,Hermosillo,1858,62,846,28
375,Hermosillo,1457,50,652,21
376,Hermosillo,2159,163,1048,37
377,Hermosillo,1485,67,726,24
378,Hermosillo,593,22,342,11
379,Hermosillo,627,40,229,8
380,Hermosillo,1043,75,524,18
381,Hermosillo,2463,73,1173,38
382,Hermosillo,732,26,298,10
383,Hermosillo,2614,195,1341,47
384,Hermosillo,2071,107,717,25
385,Hermosillo,766,35,346,11
386,Hermosillo,1721,114,850,29
387,Hermosillo,2303,86,1103,36
388,Hermosillo,2010,101,715,25
389,Hermosillo,1942,98,1117,37
390,Hermosillo,2823,138,1454,49
391,Hermosillo,2518,104,912,31
392,Hermosillo,2357,133,810,29
393,Hermosillo,2031,66,1057,34
394,Hermosillo,1477,61,542,18
395,Hermosillo,2018,128,866,30
396,Hermosillo,706,47,269,9
397,Hermosillo,994,41,446,15
398,Hermosillo,2160,82,956,32
399,Hermosillo,644,26,285,9
400,Hermosillo,1760,70,785,26
401,Hermosillo,2538,186,1345,47
402,Hermosillo,2505,77,959,32
403,Hermosillo,1522,38,678,22
404,Hermosillo,858,61,467,16
405,Hermosillo,678,61,338,12
406,Hermosillo,2224,99,1226,40
407,Hermosillo,924,45,501,16
408,Hermosillo,2303,95,1079,36
409,Hermosillo,2616,174,1346,46
410,Hermosillo,1102,47,627,20
411,Hermosillo,1386,69,579,20
412,Hermosillo,1677,40,620,20
413,Hermosillo,2417,66,1163,37
414,Hermosillo,2230,93,1168,39
415,Hermosillo,1889,44,825,26
416,Hermosillo,1538,123,824,29
417,Hermosillo,2947,183,1344,47
418,Hermosillo,1821,152,851,30
419,Hermosillo,1019,55,418,14
420,Hermosillo,607,16,272,8
421,Hermosillo,1542,41,599,19
422,Hermosillo,2080,110,1183,39
423,Hermosillo,1823,145,851,30
424,Hermosillo,2800,146,1401,47
425,Hermosillo,2216,152,916,33
426,Hermosillo,1169,49,595,19
427,Hermosillo,1170,63,614,20
428,Hermosillo,1544,103,685,24
429,Hermosillo,2935,217,1255,45
430,Hermosillo,1613,76,560,19
431,Hermosillo,1697,124,735,26
432,Hermosillo,2889,178,1207,42
433,Hermosillo,1315,39,579,19
434,Hermosillo,1982,148,827,30
435,Hermosillo,1289,79,564,19
436,Hermosillo,2065,120,909,31
437,Hermosillo,2674,157,1120,39
438,Hermosillo,1352,119,733,26
439,Hermosillo,2154,88,1174,39
440,Hermosillo,1008,51,361,12
441,Hermosillo,1228,74,547,19
442,Hermosillo,2000,117,777,27
443,Hermosillo,1016,53,389,13
444,Hermosillo,1765,60,829,27
445,Hermosillo,2756,140,1076,37
446,Hermosillo,2453,142,1095,38
447,Hermosillo,2183,101,1052,35
448,Hermosillo,1648,56,957,31
449,Hermosillo,1280,75,619,21
450,Hermosillo,894,49,372,13
451,Hermosillo,665,38,373,12
452,Hermosillo,1897,94,1031,34
453,Hermosillo,1471,50,568,19
454,Hermosillo,1741,54,669,22
455,Hermosillo,602,32,284,9
456,Hermosillo,2340,74,1128,37
457,Hermosillo,1248,50,538,18
458,Hermosillo,791,18,326,10
459,Hermosillo,1113,50,457,15
460,Hermosillo,1721,45,730,23
461,Hermosillo,1781,108,696,24
462,Hermosillo,2927,220,1205,44
463,Hermosillo,1335,79,568,19
464,Hermosillo,1613,62,706,23
465,Hermosillo,1285,107,646,23
466,Hermosillo,716,23,262,8
467,Hermosillo,1534,63,825,27
468,Hermosillo,1339,54,540,18
469,Hermosillo,1587,111,776,27
470,Hermosillo,669,44,280,10
471,Hermosillo,774,24,397,12
472,Hermosillo,1133,76,597,20
473,Hermosillo,1877,115,703,25
474,Hermosillo,785,60,347,12
475,Hermosillo,765,57,356,12
476,Hermosillo,2539,128,858,30
477,Hermosillo,2197,119,1037,35
478,Hermosillo,1838,149,997,35
479,Hermosillo,2196,203,1158,42
480,Hermosillo,2109,106,796,27
481,Hermosillo,2438,197,1275,45
482,Hermosillo,2634,194,1248,44
483,Hermosillo,2669,100,1471,48
484,Hermosillo,2842,197,1533,53
485,Hermosillo,1073,42,557,18
486,Hermosillo,1206,73,422,15
487,Hermosillo,2969,160,1680,56
488,Hermosillo,959,41,436,14
489,Hermosillo,1235,34,501,16
490,Hermosillo,2439,182,1209,43
491,Hermosillo,2530,113,1381,46
492,Hermosillo,929,25,376,12
493,Hermosillo,1533,74,574,20
494,Hermosillo,2943,210,1156,42
495,Hermosillo,1170,69,420,15
496,Hermosillo,2349,115,1286,43
497,Hermosillo,1574,87,816,27
498,Hermosillo,2474,121,1184,40
499,Hermosillo,965,61,348,12
500,Hermosillo,2390,73,1141,37
501,Cajeme,1658,70,775,26
502,Cajeme,2570,143,1409,47
503,Cajeme,1200,43,633,20
504,Cajeme,2396,157,989,35
505,Cajeme,1112,49,408,14
506,Cajeme,2508,98,1232,41
507,Cajeme,2474,123,1412,47
508,Cajeme,2719,162,1031,36
509,Cajeme,2222,102,985,33
510,Cajeme,2758,89,1579,51
511,Cajeme,944,47,443,15
512,Cajeme,577,31,228,8
513,Cajeme,567,24,242,8
514,Cajeme,1966,106,705,25
515,Cajeme,1174,37,597,19
516,Cajeme,1475,46,633,20
517,Cajeme,2269,129,1259,42
518,Cajeme,2022,71,1020,33
519,Cajeme,2971,95,1256,41
520,Cajeme,555,28,224,7
521,Cajeme,908,65,398,14
522,Cajeme,813,24,434,14
523,Cajeme,1674,40,707,23
524,Cajeme,1422,98,690,24
525,Cajeme,2734,115,1300,43
526,Cajeme,1129,38,651,21
527,Cajeme,2276,160,955,34
528,Cajeme,732,19,273,9
529,Cajeme,1123,49,557,18
530,Cajeme,1846,107,1028,35
531,Cajeme,1017,54,544,18
532,Cajeme,1358,86,725,25
533,Cajeme,2046,75,1208,39
534,Cajeme,2229,52,820,26
535,Cajeme,1076,68,493,17
536,Cajeme,1283,77,681,23
537,Cajeme,2319,99,988,33
538,Cajeme,1609,99,651,23
539,Cajeme,1714,144,842,30
540,Cajeme,2021,74,1003,33
541,Cajeme,1969,124,1044,36
542,Cajeme,2468,169,1306,45
543,Cajeme,1016,46,361,12
544,Cajeme,1644,69,856,28
545,Cajeme,1380,75,569,19
546,Cajeme,558,25,234,7
547,Cajeme,685,14,270,8
548,Cajeme,638,28,220,7
549,Cajeme,1329,58,621,20
550,Cajeme,2433,127,1396,47
551,Cajeme,2597,222,1408,50
552,Cajeme,586,25,331,11
553,Cajeme,2432,108,1018,34
554,Cajeme,2610,151,1210,42
555,Cajeme,1291,48,747,24
556,Cajeme,2436,85,921,31
557,Cajeme,601,18,231,7
558,Cajeme,2083,101,1105,37
559,Cajeme,563,35,314,10
560,Cajeme,681,49,299,10
561,Cajeme,2927,85,1511,49
562,Cajeme,2014,51,807,26
563,Cajeme,2638,112,942,32
564,Cajeme,1693,69,952,31
565,Cajeme,2438,70,899,29
566,Cajeme,2488,79,1072,35
567,Cajeme,1082,84,585,20
568,Cajeme,917,72,420,15
569,Cajeme,2701,173,1165,41
570,Cajeme,812,54,399,13
571,Cajeme,1125,41,423,14
572,Cajeme,1373,44,536,17
573,Cajeme,1568,132,791,28
574,Cajeme,1774,100,938,32
575,Cajeme,1748,114,691,24
576,Cajeme,2906,174,1028,37
577,Cajeme,2104,67,900,29
578,Cajeme,1688,52,706,23
579,Cajeme,1794,126,816,29
580,Cajeme,2644,128,963,33
581,Cajeme,528,37,259,9
582,Cajeme,1339,52,582,19
583,Cajeme,2703,143,1507,51
584,Cajeme,2939,106,1743,57
585,Cajeme,755,38,315,10
586,Cajeme,1620,107,793,27
587,Cajeme,1833,72,1014,33
588,Cajeme,2145,161,952,34
589,Cajeme,994,66,495,17
590,Cajeme,602,26,282,9
591,Cajeme,2747,84,1319,43
592,Cajeme,797,24,447,14
593,Cajeme,1791,106,627,22
594,Cajeme,1015,79,527,18
595,Cajeme,1956,115,647,23
596,Cajeme,2155,68,1250,40
597,Cajeme,915,52,502,17
598,Cajeme,907,45,350,12
599,Cajeme,636,57,318,11
600,Cajeme,1583,67,564,19
601,Cajeme,1289,68,694,23
602,Cajeme,2143,84,964,32
603,Cajeme,1175,48,457,15
604,Cajeme,762,26,321,10
605,Cajeme,1205,38,471,15
606,Cajeme,731,35,348,11
607,Cajeme,820,54,357,12
608,Cajeme,1037,43,562,18
609,Cajeme,2809,186,1404,49
610,Cajeme,2321,146,1301,44
611,Cajeme,2726,154,1366,46
612,Cajeme,1422,94,595,21
613,Cajeme,1635,46,691,22
614,Cajeme,1539,70,846,28
615,Cajeme,1446,49,777,25
616,Cajeme,609,18,231,7
617,Cajeme,2439,116,1307,44
618,Cajeme,2383,97,1197,40
619,Cajeme,2584,142,1045,36
620,Cajeme,1415,90,778,26
621,Cajeme,1787,149,874,31
622,Cajeme,1710,89,840,28
623,Cajeme,685,40,266,9
624,Cajeme,1274,70,581,20
625,Cajeme,2174,118,1149,39
626,Cajeme,1996,105,1011,34
627,Cajeme,1527,110,707,25
628,Cajeme,2127,135,823,29
629,Cajeme,721,38,331,11
630,Cajeme,2364,96,1142,38
631,Cajeme,1660,153,881,31
632,Cajeme,2003,157,1056,37
633,Cajeme,682,24,335,11
634,Cajeme,1023,39,595,19
635,Cajeme,1915,144,992,35
636,Cajeme,1318,57,747,24
637,Cajeme,2511,62,924,30
638,Cajeme,1452,84,604,21
639,Cajeme,2102,126,1147,39
640,Cajeme,574,18,223,7
641,Cajeme,2065,89,1057,35
642,Cajeme,1532,82,732,25
643,Cajeme,2755,109,1004,34
644,Cajeme,2489,81,1449,47
645,Cajeme,1307,69,576,19
646,Cajeme,2845,97,1095,36
647,Cajeme,2713,97,1038,35
648,Cajeme,1231,41,452,15
649,Cajeme,1969,81,704,24
650,Cajeme,1785,55,856,28
651,Cajeme,678,27,254,8
652,Cajeme,1089,57,601,20
653,Cajeme,2520,86,1305,43
654,Cajeme,2816,98,1399,46
655,Cajeme,648,36,364,12
656,Cajeme,2337,192,1103,40
657,Cajeme,2937,185,1533,53
658,Cajeme,1126,26,442,14
659,Cajeme,1696,87,696,24
660,Cajeme,566,24,234,7
661,Cajeme,1215,89,560,20
662,Cajeme,965,30,370,12
663,Cajeme,1005,58,568,19
664,Cajeme,2607,125,1021,35
665,Cajeme,2635,178,1333,46
666,Cajeme,2368,128,1125,38
667,Cajeme,922,41,373,12
668,Cajeme,2392,164,907,33
669,Cajeme,1736,54,669,22
670,Cajeme,2813,182,1469,51
671,Cajeme,2906,205,1291,46
672,Cajeme,572,27,203,7
673,Cajeme,2669,109,961,33
674,Cajeme,2162,158,1072,38
675,Cajeme,1345,72,556,19
676,Cajeme,623,37,344,11
677,Cajeme,773,35,307,10
678,Cajeme,949,41,433,14
679,Cajeme,2991,122,1494,49
680,Cajeme,2506,62,933,30
681,Cajeme,2194,60,972,31
682,Cajeme,2666,161,1102,39
683,Cajeme,2128,98,860,29
684,Cajeme,2089,105,1069,36
685,Cajeme,1718,61,732,24
686,Cajeme,2652,215,1254,45
687,Cajeme,2161,168,1152,40
688,Cajeme,1597,77,831,28
689,Cajeme,2992,145,1176,40
690,Cajeme,1837,72,875,29
691,Cajeme,1114,83,604,21
692,Cajeme,597,55,313,11
693,Cajeme,2473,104,958,32
694,Cajeme,2427,116,1069,36
695,Cajeme,1857,107,876,30
696,Cajeme,1186,74,437,15
697,Cajeme,1060,43,535,17
698,Cajeme,1980,128,810,29
699,Cajeme,2003,87,1132,37
700,Cajeme,1180,73,570,19
701,Cajeme,1645,119,722,25
702,Cajeme,943,60,365,13
703,Cajeme,705,60,365,13
704,Cajeme,2027,146,876,31
705,Cajeme,1562,93,682,23
706,Cajeme,1580,63,817,27
707,Cajeme,572,50,297,10
708,Cajeme,1009,35,509,16
709,Cajeme,2687,99,1085,36
710,Cajeme,2058,129,1069,37
711,Cajeme,2487,113,971,33
712,Cajeme,1694,97,782,27
713,Cajeme,2097,116,849,29
714,Cajeme,979,36,546,17
715,Cajeme,2601,171,1268,44
716,Cajeme,1170,68,517,18
717,Cajeme,1475,55,579,19
718,Cajeme,1566,69,646,22
719,Cajeme,1632,54,595,20
720,Cajeme,1136,25,454,14
721,Cajeme,1128,41,402,13
722,Cajeme,3000,179,1463,50
723,Cajeme,2722,132,1399,47
724,Cajeme,1689,82,868,29
725,Cajeme,850,32,298,10
726,Cajeme,1578,46,667,22
727,Cajeme,2662,101,971,33
728,Cajeme,666,35,279,9
729,Cajeme,1840,80,811,27
730,Cajeme,1742,104,983,33
731,Cajeme,784,42,383,13
732,Cajeme,994,36,561,18
733,Cajeme,2207,148,911,32
734,Cajeme,1895,47,779,25
735,Cajeme,2243,204,1122,40
736,Cajeme,1536,54,721,23
737,Cajeme,511,21,194,6
738,Cajeme,1170,42,479,16
739,Cajeme,1297,62,696,23
740,Cajeme,2854,160,1036,36
741,Cajeme,1404,62,532,18
742,Cajeme,2200,82,1199,39
743,Cajeme,1663,109,901,31
744,Cajeme,1765,93,683,23
745,Cajeme,1403,93,651,22
746,Cajeme,2235,134,1227,42
747,Cajeme,1722,60,990,32
748,Cajeme,792,31,344,11
749,Cajeme,2367,107,983,33
750,Cajeme,1838,67,737,24
751,Cajeme,2629,193,1442,50
752,Cajeme,2615,87,1034,34
753,Cajeme,1994,118,1056,36
754,Cajeme,1234,62,686,23
755,Cajeme,2635,178,1154,41
756,Cajeme,2380,67,897,29
757,Cajeme,2123,103,971,33
758,Cajeme,1856,61,877,29
759,Cajeme,741,22,401,13
760,Cajeme,1049,27,424,13
761,Cajeme,1421,37,552,18
762,Cajeme,2007,97,783,27
763,Cajeme,609,31,339,11
764,Cajeme,1164,78,636,22
765,Cajeme,637,33,304,10
766,Cajeme,1640,104,793,27
767,Cajeme,939,54,391,13
768,Cajeme,858,67,389,14
769,Cajeme,546,50,289,10
770,Cajeme,2061,84,1068,35
771,Cajeme,2037,89,986,33
772,Cajeme,928,34,388,13
773,Cajeme,1204,62,504,17
774,Cajeme,1735,101,835,28
775,Cajeme,2491,55,981,32
776,Cajeme,2345,127,973,34
777,Cajeme,1439,82,771,26
778,Cajeme,674,52,322,11
779,Cajeme,2806,207,1136,41
780,Cajeme,1326,105,657,23
781,Cajeme,1375,74,484,17
